Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,114.309998,114.559998,113.510002,114.059998,24329900,114.059998
2016-10-06,113.699997,114.339996,113.129997,113.889999,28779300,113.889999
2016-10-05,113.400002,113.660004,112.690002,113.050003,21453100,113.050003
2016-10-04,113.059998,114.309998,112.629997,113.00,29736800,113.00
2016-10-03,112.709999,113.050003,112.279999,112.519997,21701800,112.519997
2016-09-30,112.459999,113.370003,111.800003,113.050003,36379100,113.050003
2016-09-29,113.160004,113.800003,111.800003,112.18,35887000,112.18
2016-09-28,113.690002,114.639999,113.43,113.949997,29641100,113.949997
2016-09-27,113.00,113.18,112.339996,113.089996,24607400,113.089996
2016-09-26,111.639999,113.389999,111.550003,112.879997,29869400,112.879997
2016-09-23,114.419998,114.790001,111.550003,112.709999,52481200,112.709999
2016-09-22,114.349998,114.940002,114.00,114.620003,31074000,114.620003
2016-09-21,113.849998,113.989998,112.440002,113.550003,36003200,113.550003
2016-09-20,113.050003,114.120003,112.510002,113.57,34514300,113.57
2016-09-19,115.190002,116.18,113.25,113.580002,47023000,113.580002
2016-09-16,115.120003,116.129997,114.040001,114.919998,79886900,114.919998
2016-09-15,113.860001,115.730003,113.489998,115.57,89983600,115.57
2016-09-14,108.730003,113.029999,108.599998,111.769997,110888700,111.769997
2016-09-13,107.510002,108.790001,107.239998,107.949997,62176200,107.949997
2016-09-12,102.650002,105.720001,102.529999,105.440002,45292800,105.440002
2016-09-09,104.639999,105.720001,103.129997,103.129997,46557000,103.129997
2016-09-08,107.25,107.269997,105.239998,105.519997,53002000,105.519997
2016-09-07,107.830002,108.760002,107.07,108.360001,42364300,108.360001
2016-09-06,107.900002,108.300003,107.510002,107.699997,26880400,107.699997
2016-09-02,107.699997,108.00,106.82,107.730003,26802500,107.730003
2016-09-01,106.139999,106.800003,105.620003,106.730003,26701500,106.730003
2016-08-31,105.660004,106.57,105.639999,106.099998,29662400,106.099998
2016-08-30,105.800003,106.50,105.50,106.00,24863900,106.00
2016-08-29,106.620003,107.440002,106.290001,106.82,24970300,106.82
2016-08-26,107.410004,107.949997,106.309998,106.940002,27766300,106.940002
2016-08-25,107.389999,107.879997,106.68,107.57,25086200,107.57
2016-08-24,108.57,108.75,107.68,108.029999,23675100,108.029999
2016-08-23,108.589996,109.32,108.529999,108.849998,21257700,108.849998
2016-08-22,108.860001,109.099998,107.849998,108.510002,25820200,108.510002
2016-08-19,108.769997,109.690002,108.360001,109.360001,25368100,109.360001
2016-08-18,109.230003,109.599998,109.019997,109.080002,21984700,109.080002
2016-08-17,109.099998,109.370003,108.339996,109.220001,25356000,109.220001
2016-08-16,109.629997,110.230003,109.209999,109.379997,33794400,109.379997
2016-08-15,108.139999,109.540001,108.080002,109.480003,25868200,109.480003
2016-08-12,107.779999,108.440002,107.779999,108.18,18660400,108.18
2016-08-11,108.519997,108.93,107.849998,107.93,27484500,107.93
2016-08-10,108.709999,108.900002,107.760002,108.00,24008500,108.00
2016-08-09,108.230003,108.940002,108.010002,108.809998,26315200,108.809998
2016-08-08,107.519997,108.370003,107.160004,108.370003,28037200,108.370003
2016-08-05,106.269997,107.650002,106.18,107.480003,40553400,107.480003
2016-08-04,105.580002,106.00,105.279999,105.870003,27408700,105.870003
2016-08-03,104.809998,105.839996,104.769997,105.790001,30202600,105.220002
2016-08-02,106.050003,106.07,104.00,104.480003,33816600,103.917063
2016-08-01,104.410004,106.150002,104.410004,106.050003,38167900,105.478603
2016-07-29,104.190002,104.550003,103.68,104.209999,27733700,103.648513
2016-07-28,102.830002,104.449997,102.82,104.339996,39869800,103.77781
2016-07-27,104.269997,104.349998,102.75,102.949997,92344800,102.3953
2016-07-26,96.82,97.970001,96.419998,96.669998,56239800,96.149138
2016-07-25,98.25,98.839996,96.919998,97.339996,40382900,96.815526
2016-07-22,99.260002,99.300003,98.309998,98.660004,28313700,98.128421
2016-07-21,99.830002,101.00,99.129997,99.43,32702000,98.894269
2016-07-20,100.00,100.459999,99.739998,99.959999,26276000,99.421412
2016-07-19,99.559998,100.00,99.339996,99.870003,23779900,99.331901
2016-07-18,98.699997,100.129997,98.599998,99.830002,36493900,99.292116
2016-07-15,98.919998,99.300003,98.50,98.779999,30137000,98.24777
2016-07-14,97.389999,98.989998,97.32,98.790001,38919000,98.257718
2016-07-13,97.410004,97.669998,96.839996,96.870003,25892200,96.348065
2016-07-12,97.169998,97.699997,97.120003,97.419998,24167500,96.895097
2016-07-11,96.75,97.650002,96.730003,96.980003,23794900,96.457473
2016-07-08,96.489998,96.889999,96.050003,96.68,28912100,96.159086
2016-07-07,95.699997,96.50,95.620003,95.940002,25139600,95.423076
2016-07-06,94.599998,95.660004,94.370003,95.529999,30949100,95.015281
2016-07-05,95.389999,95.400002,94.459999,94.989998,27705200,94.47819
2016-07-01,95.489998,96.470001,95.330002,95.889999,26026500,95.373342
2016-06-30,94.440002,95.769997,94.300003,95.599998,35836400,95.084904
2016-06-29,93.970001,94.550003,93.629997,94.400002,36531000,93.891372
2016-06-28,92.900002,93.660004,92.139999,93.589996,40444900,93.085731
2016-06-27,93.00,93.050003,91.50,92.040001,45489600,91.544087
2016-06-24,92.910004,94.660004,92.650002,93.400002,75311400,92.89676
2016-06-23,95.940002,96.290001,95.25,96.099998,32240200,95.58221
2016-06-22,96.25,96.889999,95.349998,95.550003,29219100,95.035178
2016-06-21,94.940002,96.349998,94.68,95.910004,35546400,95.393239
2016-06-20,96.00,96.57,95.029999,95.099998,34411900,94.587598
2016-06-17,96.620003,96.650002,95.300003,95.330002,61008200,94.816362
2016-06-16,96.449997,97.75,96.07,97.550003,31326800,97.024402
2016-06-15,97.82,98.410004,97.029999,97.139999,29445200,96.616607
2016-06-14,97.32,98.480003,96.75,97.459999,31931900,96.934883
2016-06-13,98.690002,99.120003,97.099998,97.339996,38020500,96.815526
2016-06-10,98.529999,99.349998,98.480003,98.830002,31712900,98.297504
2016-06-09,98.50,99.989998,98.459999,99.650002,26601400,99.113085
2016-06-08,99.019997,99.559998,98.68,98.940002,20848100,98.406912
2016-06-07,99.25,99.870003,98.959999,99.029999,22409500,98.496423
2016-06-06,97.989998,101.889999,97.550003,98.629997,23292500,98.098577
2016-06-03,97.790001,98.269997,97.449997,97.919998,28504900,97.392403
2016-06-02,97.599998,97.839996,96.629997,97.720001,40191600,97.193484
2016-06-01,99.019997,99.540001,98.330002,98.459999,29173300,97.929494
2016-05-31,99.599998,100.400002,98.82,99.860001,42307200,99.321953
2016-05-27,99.440002,100.470001,99.25,100.349998,36341200,99.809311
